n_trial,uncertainty,share,Predicted_MC_1up,Predicted_MC,Instr,Task1Seek,check,ID,mc_model,,ValInstr,UncIntr,ValUnc,3Qway
37,74,6,0,-438,0,2,4,562a00dac8ffc20012513fbe,444,0,0,0,32856,0
38,63,5,1,457,0,2,4,562a00dac8ffc20012513fbe,419,0,0,0,26397,0
40,57,6,1,437,0,2,4,562a00dac8ffc20012513fbe,-400,0,0,0,-22800,0
41,64,6,1,419,0,2,4,562a00dac8ffc20012513fbe,419,0,0,0,26816,0
42,8,4,0,-457,0,2,4,562a00dac8ffc20012513fbe,-457,0,0,0,-3656,0
43,35,4,0,-413,0,2,4,562a00dac8ffc20012513fbe,-413,0,0,0,-14455,0
44,19,4,0,-419,0,2,4,562a00dac8ffc20012513fbe,-427,0,0,0,-8113,0
46,70,4,0,-469,0,2,4,562a00dac8ffc20012513fbe,-425,0,0,0,-29750,0
47,84,6,1,406,0,2,4,562a00dac8ffc20012513fbe,-440,0,0,0,-36960,0
48,30,4,0,-463,0,2,4,562a00dac8ffc20012513fbe,-463,0,0,0,-13890,0
1,32,6,1,436,1,2,4,562a00dac8ffc20012513fbe,-462,0,-462,32,-14784,-14784
2,22,5,1,407,1,2,4,562a00dac8ffc20012513fbe,407,0,407,22,8954,8954
3,99,6,1,460,1,2,4,562a00dac8ffc20012513fbe,490,0,490,99,48510,48510
4,86,6,1,465,1,2,4,562a00dac8ffc20012513fbe,472,0,472,86,40592,40592
5,89,6,1,495,1,2,4,562a00dac8ffc20012513fbe,498,0,498,89,44322,44322
7,59,6,0,-464,1,2,4,562a00dac8ffc20012513fbe,-497,0,-497,59,-29323,-29323
8,48,6,1,410,1,2,4,562a00dac8ffc20012513fbe,-464,0,-464,48,-22272,-22272
9,22,4,1,455,1,2,4,562a00dac8ffc20012513fbe,455,0,455,22,10010,10010
11,73,6,0,-416,1,2,4,562a00dac8ffc20012513fbe,-420,0,-420,73,-30660,-30660
12,93,6,0,-482,1,2,4,562a00dac8ffc20012513fbe,-482,0,-482,93,-44826,-44826
13,4,4,1,480,1,2,4,562a00dac8ffc20012513fbe,480,0,480,4,1920,1920
14,43,6,0,-412,1,2,4,562a00dac8ffc20012513fbe,-412,0,-412,43,-17716,-17716
15,51,6,0,-424,1,2,4,562a00dac8ffc20012513fbe,408,0,408,51,20808,20808
17,52,6,1,407,1,2,4,562a00dac8ffc20012513fbe,407,0,407,52,21164,21164
18,58,6,1,456,1,2,4,562a00dac8ffc20012513fbe,-425,0,-425,58,-24650,-24650
19,51,6,1,467,1,2,4,562a00dac8ffc20012513fbe,467,0,467,51,23817,23817
20,56,6,0,-435,1,2,4,562a00dac8ffc20012513fbe,-408,0,-408,56,-22848,-22848
21,82,6,0,-465,1,2,4,562a00dac8ffc20012513fbe,486,0,486,82,39852,39852
22,7,4,0,-449,1,2,4,562a00dac8ffc20012513fbe,-449,0,-449,7,-3143,-3143
24,40,6,0,-498,1,2,4,562a00dac8ffc20012513fbe,416,0,416,40,16640,16640
25,42,6,0,-407,1,2,4,562a00dac8ffc20012513fbe,-407,0,-407,42,-17094,-17094
27,5,4,1,489,1,2,4,562a00dac8ffc20012513fbe,489,0,489,5,2445,2445
28,8,4,1,475,1,2,4,562a00dac8ffc20012513fbe,475,0,475,8,3800,3800
29,34,6,0,-479,1,2,4,562a00dac8ffc20012513fbe,-479,0,-479,34,-16286,-16286
30,28,6,0,-492,1,2,4,562a00dac8ffc20012513fbe,-492,0,-492,28,-13776,-13776
32,38,6,0,-434,1,2,4,562a00dac8ffc20012513fbe,458,0,458,38,17404,17404
