treatment_name,metric,generated_game_count,human_game_count,wasserstein_distance,run_name,run_label,treatment_label,score,family_name
VALIDATION_17_C,mean_total_contribution_rate,11,11,0.419325999937455,demographic_only_row_resampled_seed_0_gpt_5_mini,Demographic Only,17-C,0.419325999937455,gpt-5-mini
VALIDATION_17_T,mean_total_contribution_rate,8,8,0.1203546337563365,demographic_only_row_resampled_seed_0_gpt_5_mini,Demographic Only,17-T,0.1203546337563365,gpt-5-mini
VALIDATION_18_C,mean_total_contribution_rate,12,12,0.2626811594202899,demographic_only_row_resampled_seed_0_gpt_5_mini,Demographic Only,18-C,0.2626811594202899,gpt-5-mini
VALIDATION_18_T,mean_total_contribution_rate,10,10,0.152536231884058,demographic_only_row_resampled_seed_0_gpt_5_mini,Demographic Only,18-T,0.152536231884058,gpt-5-mini
VALIDATION_19_C,mean_total_contribution_rate,10,10,0.1852298850574712,demographic_only_row_resampled_seed_0_gpt_5_mini,Demographic Only,19-C,0.1852298850574712,gpt-5-mini
VALIDATION_19_T,mean_total_contribution_rate,10,10,0.356867816091954,demographic_only_row_resampled_seed_0_gpt_5_mini,Demographic Only,19-T,0.356867816091954,gpt-5-mini
VALIDATION_1_C,mean_total_contribution_rate,8,8,0.512890625,demographic_only_row_resampled_seed_0_gpt_5_mini,Demographic Only,1-C,0.512890625,gpt-5-mini
VALIDATION_1_T,mean_total_contribution_rate,8,8,0.2173177083333333,demographic_only_row_resampled_seed_0_gpt_5_mini,Demographic Only,1-T,0.2173177083333333,gpt-5-mini
VALIDATION_2_C,mean_total_contribution_rate,9,9,0.1022222222222222,demographic_only_row_resampled_seed_0_gpt_5_mini,Demographic Only,2-C,0.1022222222222222,gpt-5-mini
VALIDATION_2_T,mean_total_contribution_rate,11,11,0.0792045454545454,demographic_only_row_resampled_seed_0_gpt_5_mini,Demographic Only,2-T,0.0792045454545454,gpt-5-mini
